Area,School,level,physical_address,ECD_Enrollment_Boys_and_Girls,Primary_Enrollment_Boys,Primary_Enrollment_Girls,ECD_Classes_Offered,Primary_Classes_Offered,Teachers_assigned,,,,,
ESAN CENT,"UGBOKHARE P/S, IRRUA",PE,UGBOKHARE COMMUNITY IRRUA,64,102,118,3,6,3,,,,,
Akoko Edo,UGBOGBO P/S IGARRA,PE,"OFF. SECT. RD, BESIDE ANG. CATHEDRAL",148,249,235,3,6,3,,,,,
ORHIONMWON,UGBIGUN P/S UGBIGUN,PE,NOMINAL SCHOOL,0,,,3,6,9,,,,,
Egor,UGBIGHOKO,PE,"UPPER EKEHUAN, UGBIGHOKO",241,680,726,3,6,6,,,,,
ORHIONMWON,UGBIGHELE P/S UGBIGHELE,PE,UGBIGHELE VILLAGE BENIN ABRAKA RD,0,,,3,6,8,,,,,
Etsako West,UGBENOR P/S UGBENOR,PE,ALONG AUCHI BODE RD UZAIRUE,67,181,75,3,6,9,,,,,
IKPOBA OKHA,UGBEKUN PRIMARY SCHOOL,PE,UPPER SAKPONBA ROAD,50,109,82,3,6,3,,,,,
owan west,Ugbedu Nom. Eruere,PE,Eruere rd UgbeduIlueha,38,81,87,3,6,8,,,,,
ESAN CENT,"UGBALO P/S, IRRUA",PE,UGBALO COMMUNITY IRRUA,22,66,55,3,6,9,,,,,
Ovia Neast,UGBADA NOMADIC OKPOKHUMI,,UGBADA NOMADIC SCHOOL OKPOKHUMI,20,53,36,3,6,3,,,,,
owan east,UGBADA  OKPOKHUMI,,UGBADA NOMADIC SCHOOL OKPOKHUMI,20,53,36,3,6,5,,,,,
Akoko Edo,UFA P/S IGARRA,PE,"BY ST. JOHN ANG. CHR. UFFA QTRS, IGARRA",102,430,429,3,6,8,,,,,
ESAN CENT,"UDOWO P/S, IRRUA",PE,UDOWO COMMUNITY EIDENU IRRUA,134,124,123,3,6,9,,,,,
Igueben,"Udoneria P/S, Udo",,Udoneria –Udo ,40,60,71,3,6,3,,,,,
ESAN CENT,"UDOMI P/S, IRRUA",PE,UDOMI COMMUNITY IRRUA,21,78,65,3,6,8,,,,,
Ovia Swest,UDO P/S UDO,PE,MISSION ROAD UDO,68,145,114,3,6,9,,,,,
Esan NEAST,UDINAMAN PRI. SCH. UROMI,PE,"IDINAMAN QUARTERS, UBIERUMUEKO, UROMI",60,74,89,3,6,6,,,,,
Etsako West,UDEBO P//S IYUKU,PE,BEHIND TOWN HALL IYUKU,140,128,135,3,6,8,,,,,
ESAN SEAST,UDAKPA P/S UBIAJA,P,UDAKPA P/S UBIAJA,54,73,53,3,6,9,,,,,
Etsako West,UCHI P/S AUCHI,PE,ALONG WARRAKE RD AUCHI,223,232,242,3,6,6,,,,,
Ovia Neast,UBIALE P\S UROE,P or PE,UBIALE P\S UROE UROE  UZEBBA ROAD,101,186,135,3,6,9,,,,,
owan east,UBIALE Alt,P or PE,UBIALE P\S UROE UROE  UZEBBA ROAD,101,186,135,3,6,3,,,,,
owan west,Ubezi P/S Ugbubezi,PE,"Along SaboSobe rd, Ugbe",0,58,49,3,6,6,,,,,
owan west,Uben P/S Uhonmora –Ora,PE,Along Ozalla rd,133,136,104,3,6,9,,,,,
UHUNMWODE,UBEBE P/S ADESAGBON,P,ADESAGBON,0,19,18,3,6,7,,,,,
Ovia Swest,UBA P/S IGUATAKPA III,P,IGUATAKPA (ABAIJESA),0,76,80,3,6,8,,,,,
Ovia Neast,UANHUMI ALT,PE,UANHUMI P\S Imouokhomen St. Uanhumi Emai,76,109,87,3,6,8,,,,,
owan east,UANHUMI P\S UANHUMI,PE,UANHUMI P\S Imouokhomen St. Uanhumi Emai,76,109,87,3,6,9,,,,,
Esan NEAST,UALOROKE PRI. SCH. UROMI,PE,"UALOROKE VILLA, UROMI",57,56,76,3,6,4,,,,,
NO GOOD,TOT,,,,,,3,6,9,,,,,
